marca;modelo;year
Kia;Sorento EX;2019
Lexus;GS 350 F Sport;2020
Toyota;4Runner TRD Pro;2019
Mercedes-Benz;GLB 250 Base 4MATIC;2022
BMW;330 i xDrive;2018
Toyota;RAV4 LE;2014
Subaru;Outback 2.5i Premium;2016
Lexus;RX 350 F Sport;2019
Ford;Explorer XLT;2019
Audi;Q7 3.0T Premium Plus;2017
Mazda;CX-5 Grand Touring;2017
Cadillac;CTS 3.6L Luxury;2019
Lexus;IS 300 IS 300 F SPORT;2019
Chrysler;200 Limited;2015
Ford;Explorer Limited;2020
Jeep;Grand Cherokee Summit;2020
Acura;RDX Technology Package;2021
Mercedes-Benz;A-Class A 220 4MATIC;2019
Cadillac;CT6 3.0L Twin Turbo Luxury;2016
Mercedes-Benz;E-Class E 350 4MATIC;2021
Toyota;Prius LE;2020
Cadillac;XT6 Premium Luxury FWD;2021
Cadillac;XT5 Sport;2020
Toyota;4Runner Limited;2020
GMC;Acadia SLT;2020
Toyota;Highlander LE Plus;2019
BMW;M550 i xDrive;2018
RAM;1500 Limited;2020
Cadillac;XT5 Luxury;2018
Mercedes-Benz;G-Class G 550;2014
Cadillac;XTS Luxury;2018
Nissan;Altima 2.5 SL;2019
BMW;435 i xDrive;2014
Porsche;Cayenne GTS;2016
BMW;X1 xDrive 28i;2016
Land;Rover Range Rover Evoque SE Premium;2019
Land;Rover Range Rover HSE;2020
Mercedes-Benz;CLA 250 Base;2020
Ford;Expedition Limited;2020
Acura;RDX Technology Package;2019
RAM;1500 Limited;2019
Nissan;Armada Platinum;2017
Tesla;Model X 70D;2016
Mercedes-Benz;AMG E 53 Base 4MATIC;2019
Kia;Sorento LX V6;2020
Lincoln;MKZ Reserve;2020
INFINITI;QX60 Luxe;2020
Acura;RDX A-Spec;2020
BMW;540 i;2019
Lexus;GX 460 Base;2015
Honda;Pilot EX-L;2020
Land;Rover Range Rover Evoque S;2020
Nissan;Titan PRO-4X;2020
Ford;Explorer XLT;2020
Ford;F-150 Lariat;2017
Subaru;Outback 2.5i Premium;2017
Ford;Flex Limited;2012
Mercedes-Benz;AMG C 43 Base 4MATIC;2020
INFINITI;QX80;2017
Nissan;Sentra S;2019
Lexus;NX 200t F Sport;2016
Jaguar;XK;2007
Toyota;Corolla LE;2020
Mercedes-Benz;GLS 450 GLS 450;2018
RAM;1500 Rebel;2021
Hyundai;Santa Fe Limited 2.4;2020
Lexus;GS 350 Base;2016
Mercedes-Benz;M-Class ML 350;2015
Mercedes-Benz;AMG C 63 Base;2018
Chevrolet;Suburban LT;2018
GMC;Acadia SLE;2020
Alfa;Romeo Giulia Base;2020
Porsche;Cayenne Base;2020
Audi;e-tron Prestige;2019
Chevrolet;Impala LS;2013
Acura;MDX 3.5L;2019
Acura;MDX 3.5L w/Advance Package;2019
BMW;M4 Base;2015
Audi;R8 4.2;2015
Honda;Pilot EX-L w/Navigation/RES;2019
Acura;RDX Base (A10);2019
BMW;X5 xDrive50i;2019
Hyundai;Santa Fe SE 2.4;2019
Mercedes-Benz;GLA 250 Base 4MATIC;2019
Lexus;RX 350;2017
Jaguar;F-TYPE R;2017
Porsche;Panamera 4;2013
INFINITI;QX80 PREMIUM SELECT;2021
Tesla;Model Y Performance;2020
Volvo;XC90 T5 Momentum;2019
Lincoln;MKC Reserve;2019
Mercedes-Benz;A-Class A 220;2019
Toyota;Highlander XLE;2021
Lexus;ES 350 F Sport;2019
Ford;Expedition XLT;2020
Ford;Explorer Base;2019
Buick;LaCrosse CXS;2011
Mercedes-Benz;S-Class S430;2001
Honda;Pilot EX;2019
Lexus;LS 500 Base;2018
Toyota;Sienna XLE;2022
Audi;Q8 3.0T Prestige;2019
Cadillac;Escalade ESV Premium;2012
Kia;Telluride S;2020
Lincoln;Nautilus Reserve;2020
Buick;Encore Essence;2019
Chevrolet;Corvette Stingray w/2LT;2021
Jeep;Grand Cherokee Trailhawk;2021
Mercedes-Benz;CLA 250 CLA 250;2019
Acura;TLX V6;2018
Volkswagen;Tiguan 2.0T SE;2020
Land;Rover Range Rover Sport 5.0L Supercharged SVR;2017
Land;Rover Range Rover Sport Autobiography;2019
Mercedes-Benz;GLC 300 4MATIC Coupe;2020
Lexus;NX 300;2020
Ford;Ranger Lariat;2020
BMW;X1 xDrive28i;2021
Acura;TLX A-Spec;2021
Hyundai;Veloster Turbo;2014
Ford;Mustang GT Premium;2015
Cadillac;XT6 Premium Luxury AWD;2020
Subaru;Forester Touring;2019
BMW;340 i xDrive;2016
Subaru;Outback Limited XT;2021
Jeep;Wrangler Unlimited Sport;2021
Mercedes-Benz;SLK-Class SLK 250;2015
RAM;1500 Limited;2021
Toyota;Tacoma TRD Off Road;2020
Subaru;Outback 2.5i Limited;2017
Audi;A6 2.0T quattro Sport;2018
Toyota;Tundra SR5;2021
Acura;RDX Base;2016
Nissan;Rogue SV;2021
Jeep;Grand Cherokee Laredo;2016
Jaguar;F-PACE 35t R-Sport;2017
Nissan;Rogue SL;2019
Mazda;Mazda3 i Sport;2010
Ford;Expedition EL Limited;2017
Kia;Forte LX;2017
Jeep;Wrangler Unlimited Rubicon;2016
BMW;X6 xDrive35i;2019
Mazda;CX-5 Touring;2019
Acura;RDX A-Spec;2019
Ford;Explorer Limited;2018
Chevrolet;Silverado 2500 LTZ H/D Crew Cab;2008
Nissan;Murano SL;2017
Ford;F-150 Lariat;2019
Subaru;Outback Limited XT;2020
Ford;Focus Titanium;2013
BMW;M2 Base;2018
Mazda;CX-9 Grand Touring;2019
Jeep;Grand Cherokee Summit;2019
Honda;Pilot Touring 8-Passenger;2020
Mercedes-Benz;SL-Class SL500 Roadster;2003
Subaru;Crosstrek 2.0i Limited;2019
Audi;RS 5 2DR 2.9 TFSI QTRO;2021
Honda;CR-V EX-L;2017
Chrysler;Pacifica Touring-L;2019
Kia;Optima LX;2019
Subaru;Impreza 2.0i Premium;2016
Subaru;Outback Limited;2021
Toyota;Tundra 1794;2016
Chevrolet;Traverse High Country;2020
Mitsubishi;Mirage G4 LE;2020
Maserati;Ghibli S Q4;2019
Toyota;RAV4 XLE;2017
Kia;Telluride EX;2020
INFINITI;Q50 3.0t LUXE;2018
Mercedes-Benz;GLA 250 Base 4MATIC;2021
Lincoln;Navigator L Select;2019
Dodge;Durango R/T;2020
Lexus;ES 350 Base;2018
Lexus;GX 460 Luxury;2020
BMW;430 i xDrive;2019
Lincoln;MKZ Base;2013
Mazda;Mazda3 s Sport;2011
Honda;Civic LX;2020
Mercedes-Benz;G-Class G 550 4MATIC;2019
BMW;740 i xDrive;2019
Ford;Flex SEL;2019
Chevrolet;Trax LT;2019
Audi;Q7 55 Premium Plus;2019
Land;Rover Range Rover P525 HSE Westminster;2021
BMW;328 i xDrive;2013
Chevrolet;Silverado 1500 LT;2018
Jeep;Wrangler Unlimited Sahara;2019
Toyota;4Runner Limited;2006
Honda;Odyssey EX-L;2014
Mercedes-Benz;AMG G 63 Base;2020
Jeep;Wrangler Unlimited Rubicon;2006
Subaru;Forester Base (CVT);2019
Acura;TLX Technology;2018
Cadillac;Escalade ESV Luxury;2018
Jeep;Wrangler Sport;2019
Chevrolet;Trax LS;2020
Honda;Odyssey EX-L w/Navigation/RES;2020
Acura;MDX 3.5L Technology Package;2015
Genesis;G90 5.0 Ultimate;2017
Volvo;S60 T5 Momentum;2021
Mitsubishi;Outlander Sport 2.0 SE;2021
Porsche;Cayenne S;2016
Toyota;Corolla LE;2022
Mercedes-Benz;GLE 350 4MATIC;2021
BMW;X3 sDrive30i;2021
Mercedes-Benz;S-Class S 550;2015
Cadillac;XT6 Premium Luxury FWD;2020
Tesla;Model 3 Standard Range Plus;2021
Toyota;Camry;2020
Kia;Sorento S;2021
BMW;530 i xDrive;2018
INFINITI;QX50 Base;2017
GMC;Terrain Denali;2018
Lexus;GX 460 Base;2021
Volkswagen;Tiguan 2.0T SE;2021
Toyota;RAV4 Hybrid Limited;2016
Volvo;S60 T6 Inscription;2021
Subaru;Forester 2.5i Premium;2015
Bentley;Bentayga Design Edition;2020
Volvo;S90 T6 Momentum;2019
Hyundai;Kona SEL;2019
Ford;Edge ST;2019
Mercedes-Benz;AMG GLC 43 Base 4MATIC;2019
Volkswagen;Atlas 3.6L SE w/Technology;2018
Ford;F-150 XL;2017
Porsche;911 Carrera 4S;2019
BMW;M2 Base;2017
Audi;Q8 3.0T Premium Plus;2019
Mitsubishi;Outlander Sport;2020
Toyota;Highlander Hybrid Limited;2022
Chevrolet;Malibu LT;2020
Mercedes-Benz;CLA 250 Base 4MATIC;2019
Tesla;Model 3 Long Range;2018
Audi;S3 2.0T Premium Plus;2016
Audi;Q7 2.0T Premium Plus;2018
Chevrolet;Cruze LS;2017
Mazda;Mazda6 Touring;2021
Honda;Accord EX-L;2021
Ford;Escape SE;2020
Ford;Flex Limited;2018
Subaru;Ascent Premium 8-Passenger;2020
Lamborghini;Aventador LP700-4;2013
Lincoln;Aviator Standard RWD;2020
Volvo;S90 T6 Inscription;2018
Chevrolet;Cruze 1LT;2014
Lincoln;MKX Base;2013
Land;Rover Range Rover 3.0L V6 Supercharged HSE;2019
Porsche;Cayenne Base;2019
Toyota;RAV4 Limited;2021
Volkswagen;Tiguan 2.0T SEL;2021
Alfa;Romeo Stelvio Base;2020
GMC;Acadia SLE-1;2019
Subaru;Legacy 2.5i Premium;2019
Toyota;Corolla SE;2021
Mercedes-Benz;GLA-Class GLA 250 4MATIC;2015
Jeep;Renegade Limited;2017
Toyota;Venza XLE;2015
Land;Rover Range Rover Velar P380 SE R-Dynamic;2018
Hyundai;Sonata SE;2021
Jeep;Wrangler Unlimited Sport;2020
BMW;330 i xDrive;2021
Mercedes-Benz;C-Class C 300;2021
Audi;RS 5 4.2;2014
Porsche;911 Turbo;2022
Mercedes-Benz;S-Class S 450 4MATIC;2019
Volvo;XC90 T6 Momentum;2019
Volvo;XC90 T6 Inscription 6 Passenger;2020
Subaru;Outback 3.6R Limited;2018
Hyundai;Kona Limited;2018
Toyota;Avalon Limited;2011
Mercedes-Benz;C-Class C 300;2017
Toyota;RAV4 Limited;2020
Toyota;Corolla LE;2021
Toyota;Corolla LE;2019
Subaru;Crosstrek 2.0i;2018
Volkswagen;Tiguan 2.0T S;2020
BMW;X2 sDrive28i;2018
Subaru;Outback 3.6R Touring;2019
Toyota;Camry LE;2007
Acura;RDX Base;2015
Chevrolet;Tahoe LT;2015
Acura;ILX Premium & A-SPEC Packages;2016
Chevrolet;Tahoe LTZ;2016
Toyota;4Runner Limited;2017
Audi;Q5 45 Premium Plus;2020
Lincoln;MKZ Premiere;2017
Acura;RDX AcuraWatch Plus Package;2018
Honda;Odyssey Touring;2020
Cadillac;DTS Performance;2007
Lexus;RX 350 Base;2021
Dodge;Journey Crossroad;2019
Acura;TLX FWD;2019
GMC;Yukon Denali;2018
Volkswagen;Tiguan 2.0T SEL Premium R-Line;2019
Toyota;Highlander Hybrid Limited;2018
BMW;X5 xDrive35i;2016
Lexus;NX 300 Base;2020
INFINITI;QX60 Pure;2019
Toyota;Camry SE;2019
Chevrolet;Silverado 1500 LD LT;2019
Tesla;Model 3 Long Range;2020
Toyota;Supra 3.0 Premium;2021
Toyota;Camry;2021
BMW;435 Gran Coupe i;2015
GMC;Yukon XL SLT;2018
BMW;X3 M Competition;2020
Ford;Fusion SE;2017
Audi;Q7 55 Prestige;2019
Subaru;Ascent Limited 7-Passenger;2019
Lexus;ES 350 Base;2016
Honda;Odyssey Touring Elite;2016
Volvo;XC60 3.2 Premier Plus;2013
Ford;Mustang V6;2015
Mazda;CX-5 Touring;2021
Honda;CR-V LX;2020
Kia;Sorento SX;2016
Lexus;ES 350 F Sport;2020
Ford;Edge Sport;2017
GMC;Acadia Denali;2012
Audi;A5 2.0T Premium Plus;2019
Hyundai;Palisade SEL;2021
GMC;Sierra 1500 Denali;2020
Lexus;ES 350 Base;2020
Nissan;Murano SV;2019
Cadillac;CT6 3.6L Premium Luxury;2019
Subaru;Ascent Limited 7-Passenger;2020
Cadillac;XT4 Premium Luxury;2020
Toyota;Highlander LE;2019
Chevrolet;Traverse LT Leather;2021
Volvo;S60 T6 R-Design;2019
GMC;Yukon XL 1500 Denali;2014
Bentley;Continental Flying Spur Speed;2010
INFINITI;QX80 Base;2018
Audi;Q3 2.0T Premium;2018
Audi;e-tron Prestige;2021
Audi;Q7 3.0T Prestige;2018
Subaru;Outback 3.6R Touring;2017
GMC;Yukon Denali;2012
Audi;Q7 55 Premium;2021
Audi;A3 2.0T Premium Plus;2017
BMW;750 i xDrive;2019
Land;Rover Range Rover Supercharged;2018
Honda;Pilot Elite;2020
Honda;Accord Touring 2.0T;2021
Mazda;CX-9 Touring;2020
Lexus;IS 250 Base;2011
Mercury;Grand Marquis LS;2011
Nissan;Pathfinder SL;2020
Lexus;IS 350 F Sport;2021
Subaru;Impreza Premium;2021
Mercedes-Benz;E-Class E 400 4MATIC;2016
Ford;F-150 XLT;2018
Dodge;Challenger R/T Scat Pack;2020
Toyota;Sienna XLE Premium;2020
Audi;Q5 2.0T Premium;2018
Cadillac;Escalade ESV Premium Luxury;2021
Audi;A4 45 S line quattro Premium;2021
Lincoln;MKZ Standard;2020
Audi;Q5 3.0T Premium Plus;2013
Nissan;Maxima Platinum;2021
Jeep;Compass Latitude;2019
Audi;A4 40 Premium Plus;2021
Volvo;V90 Cross Country T6;2018
Mercedes-Benz;GLC 300 4MATIC;2018
Mazda;CX-9 Grand Touring;2020
Mercedes-Benz;G-Class G 550;2015
Dodge;Charger SXT Plus;2018
Subaru;Outback 3.6R Limited;2017
GMC;Terrain Denali;2020
BMW;M235 Gran Coupe i xDrive;2021
Mercedes-Benz;AMG GLE 43 Coupe 4MATIC;2017
BMW;X3 M40i;2021
Toyota;RAV4 XLE;2020
INFINITI;QX50 Luxe;2021
BMW;X4 M40i;2019
Toyota;Tundra Platinum;2018
Mazda;Mazda6 i Touring;2014
Honda;CR-V EX;2020
Chevrolet;Tahoe LT;2021
BMW;740 i xDrive;2020
Toyota;C-HR LE;2021
Mercedes-Benz;GLE 350 Base;2021
Hyundai;Tucson Ultimate;2021
BMW;528 i xDrive;2016
Chevrolet;Cruze LT;2019
Lexus;GX 460;2019
Mercedes-Benz;GLK-Class GLK 350 4MATIC;2015
Subaru;Forester Limited;2019
Volvo;XC90 3.2;2014
Hyundai;Veloster Base;2013
Porsche;Cayenne S;2019
INFINITI;Q50 Base;2015
Chevrolet;Tahoe LT;2022
Audi;Q5 2.0T Premium;2012
Mercedes-Benz;GLC 300 Base 4MATIC;2021
Chevrolet;Trax LT;2018
Acura;TLX Tech;2020
Lamborghini;Urus Base;2020
Nissan;Altima 2.5 SR;2019
Acura;MDX 3.5L w/Technology Package;2019
Chevrolet;Malibu 1LS;2020
Mercedes-Benz;E-Class E 300 Sport;2017
BMW;X1 sDrive28i;2018
Chevrolet;Suburban High Country;2021
Dodge;Durango R/T;2021
Lincoln;MKC Reserve;2017
BMW;X3 xDrive35i;2014
GMC;Yukon Denali;2019
Ford;Focus SE;2016
Chevrolet;Cruze LT;2017
Hyundai;Santa Fe Calligraphy;2021
BMW;X5 4.8i;2008
BMW;440 i xDrive;2019
Mercedes-Benz;AMG C 43 Base 4MATIC;2018
Buick;Enclave Avenir;2020
Honda;Pilot EX-L;2011
Nissan;Leaf SV;2020
Audi;A5 2.0T Premium;2019
Volkswagen;Golf R 4-Door;2016
Mazda;CX-30 Premium Package;2021
BMW;Z4 2.5i Roadster;2004
Jeep;Cherokee Latitude;2020
Acura;RDX Advance Package;2019
Honda;Accord EX;2018
Land;Rover Range Rover Sport 3.0L Supercharged HSE;2017
BMW;430 i;2019
Mercedes-Benz;S-Class S 63 AMG;2015
Jeep;Grand Cherokee Trailhawk;2020
Porsche;911 GT3;2022
Mazda;Tribute i;2005
Jeep;Wrangler Unlimited Rubicon;2020
Honda;Accord EX-L 2.0T;2018
GMC;Sierra 1500 SLT;2018
Audi;A4 2.0T Premium Plus quattro;2010
Porsche;Cayenne S;2005
Lexus;RX 350 RX 350;2018
Mercedes-Benz;E-Class E 350;2010
Lexus;NX 300 F Sport;2020
Ford;Expedition Max Limited;2019
Nissan;Murano Platinum;2021
Jeep;Grand Cherokee Summit;2015
Mercedes-Benz;GLA 250 Base 4MATIC;2018
Maserati;Levante Base;2019
Nissan;Versa 1.6 S+;2016
Land;Rover Defender 110 X;2021
Nissan;Maxima 3.5 SL;2019
Lexus;LS 500 Base;2019
Hyundai;Palisade SEL;2020
Land;Rover Range Rover Sport SE;2020
BMW;X3 xDrive28i;2014
Nissan;Pathfinder SL;2015
BMW;X2 xDrive28i;2022
Acura;MDX SH-AWD 7-Passenger;2020
Jeep;Grand Cherokee Limited;2015
Volkswagen;Tiguan 2.0T S;2021
GMC;Yukon XL SLT;2021
Mercedes-Benz;GLE 350 Base 4MATIC;2021
Ford;Edge SEL;2020
Porsche;911 Carrera GTS;2017
Volkswagen;Taos 1.5T SE;2022
Acura;RDX Technology Package;2020
Toyota;Highlander XLE;2017
Audi;RS 5 2.9T;2021
Lincoln;Nautilus Select;2019
Chevrolet;Blazer 2LT;2020
Chrysler;300 Limited;2018
Honda;Accord EX-L;2016
BMW;430 Gran Coupe i;2018
Ford;Expedition Limited;2019
Ford;ZX2;2003
Land;Rover Range Rover 3.0L Turbocharged Diesel Td6;2016
Maserati;Ghibli S;2018
Mercedes-Benz;GLE 350 Base 4MATIC;2017
Chevrolet;Traverse LT Leather;2020
Dodge;Durango GT;2019
Mercedes-Benz;AMG GT 63 4-Door;2019
Mazda;CX-5 Carbon Edition;2022
Land;Rover Range Rover Sport 3.0L Supercharged HSE;2019
Hyundai;Elantra SE;2016
Volvo;XC90 T6 R-Design;2019
Dodge;Durango Citadel;2014
Mercedes-Benz;AMG C 43 Base 4MATIC;2017
Jeep;Grand Cherokee Overland;2019
Toyota;RAV4 Limited;2019
Subaru;Impreza 2.0i;2018
Lincoln;Navigator Select;2017
Honda;Accord Sport;2014
Hyundai;Tucson SE;2021
Cadillac;Escalade Luxury;2019
Mercedes-Benz;E-Class E 300;2017
Audi;A6 2.0T Premium Plus;2016
Toyota;Camry XSE V6;2021
Jaguar;F-TYPE Premium;2017
Hyundai;Palisade Calligraphy;2022
Audi;A4 2.0T Premium Plus;2019
Toyota;4Runner SR5;2014
Chevrolet;Suburban RST;2021
Ford;Escape SEL;2019
INFINITI;QX60 Base;2016
Lincoln;Continental Select;2017
INFINITI;QX50 Luxe;2020
Land;Rover Defender 110 SE;2020
Volvo;S60 T5 Momentum;2019
Honda;Accord Sport SE;2017
Lexus;IS 300 Base;2020
Lamborghini;Urus Base;2019
Lexus;ES 350 Base;2013
Dodge;Durango R/T;2019
Volvo;XC90 T5 Momentum 7 Passenger;2020
Mercedes-Benz;AMG GLE 43 Coupe 4MATIC;2018
Mercedes-Benz;CLS-Class CLS 550 4MATIC;2014
Honda;Pilot Touring;2016
Tesla;Model S 100D;2018
Chevrolet;Silverado 1500 High Country;2019
Nissan;Pathfinder S;2018
Kia;Telluride EX;2021
Chevrolet;Silverado 1500 LT;2020
Porsche;911 Carrera 4;2021
Porsche;911 Turbo S;2015
Lexus;ES 350 Luxury;2019
Mercedes-Benz;E-Class E 450;2019
Jeep;Grand Cherokee Overland;2016
Land;Rover Range Rover HSE Westminster;2021
Chevrolet;Trailblazer LS;2004
Land;Rover Range Rover Sport 3.0L Supercharged SE;2019
RAM;1500 Longhorn;2020
Chevrolet;Equinox 1LT;2019
Hyundai;Kona SE;2019
Mercedes-Benz;GLB 250 4MATIC;2021
Mercedes-Benz;GLE 450 AWD 4MATIC;2020
Hyundai;Palisade SE;2022
Dodge;Challenger GT;2018
Chevrolet;Corvette Stingray;2017
Alfa;Romeo Stelvio Base;2021
MINI;Countryman Cooper S;2019
Ford;Mustang EcoBoost Premium;2016
Subaru;Legacy 2.5i Premium;2017
Porsche;911 Turbo;2015
Lexus;GX 460 Base;2017
Land;Rover Discovery HSE;2018
Porsche;911 Carrera S;2021
BMW;530 i;2019
Volvo;XC40 T5 R-Design;2021
Acura;RDX w/A-Spec Package;2021
Honda;Civic EX-L;2019
Acura;TLX A-Spec;2022
Mercedes-Benz;C-Class C 300 4MATIC;2020
Mercedes-Benz;AMG G 63 Base;2019
BMW;X3 xDrive35i;2016
Porsche;Macan Base;2018
Mercedes-Benz;GLC 350e Base 4MATIC;2019
Honda;CR-V Touring;2020
Ford;F-150 King Ranch;2011
Audi;A4 2.0T Premium;2018
Chevrolet;Impala LT;2006
BMW;530 i;2018
Buick;Encore Sport Touring;2019
Volkswagen;Tiguan 2.0T S;2019
Porsche;911 Carrera;2008
Acura;MDX Touring;2005
Nissan;Pathfinder S;2019
Audi;A3 2.0T Premium;2016
Honda;CR-V Touring;2016
Dodge;Journey SE;2019
Volkswagen;Atlas 3.6 V6 SE w/ Technology;2021
Chevrolet;Equinox Premier w/1LZ;2020
Ford;Fusion SE;2020
BMW;540 i;2018
Nissan;Sentra SV;2021
Cadillac;Escalade ESV Luxury;2019
Dodge;Charger GT;2021
RAM;1500 Laramie;2019
Ford;Edge SEL;2019
Ford;F-150 Platinum;2019
Chevrolet;Traverse LTZ;2016
Toyota;RAV4 XLE Premium;2019
Lexus;RX 350 F Sport Performance;2020
Lincoln;Continental Black Label;2018
Chevrolet;Impala LT;2012
Chevrolet;Traverse Premier;2020
GMC;Sierra 1500 Denali;2021
Chevrolet;Traverse LT Cloth;2019
Chevrolet;Silverado 1500 LT;2019
Subaru;Legacy 2.5i Sport;2018
Honda;Pilot EX-L w/ Navigation;2013
Kia;Sorento LX;2021
Chevrolet;Suburban LT;2019
Mercedes-Benz;GL-Class GL 450 4MATIC;2013
Lexus;LC 500 Base;2018
Jeep;Wrangler Sport;2018
Kia;Sorento LX;2016
Buick;Enclave Leather;2017
BMW;X5 xDrive35i;2011
Mazda;Mazda3 FWD w/Premium Package;2019
Porsche;Macan S;2017
Scion;xB Base;2015
BMW;430 i xDrive;2020
Volkswagen;Atlas 3.6 V6 SEL;2021
GMC;Sierra 2500 Denali;2020
GMC;Yukon XL Denali;2018
Toyota;Highlander Hybrid Limited;2019
Ford;Explorer Limited;2014
Acura;ILX Premium Package;2021
Chevrolet;Traverse LS;2020
Honda;Accord LX 1.5T;2020
GMC;Sierra 1500 Denali;2018
